label,total_return,cagr,max_dd,sharpe,cycles,cycle_winrate,cycle_pf
IS | 5bps/side,17.9192473202237,0.928649425669273,-0.38401749500383,1.5807017381379158,233,0.463519313304721,2.115258851820172
OOS | 5bps/side,4.259601947716486,1.3575359764590633,-0.4760639772222228,1.5638281294655338,100,0.54,1.725824783155326
IS | 10bps/side,15.494534088544636,0.8704541497096527,-0.3907253466973952,1.5181835580726935,233,0.463519313304721,2.0504108163198858
OOS | 10bps/side,3.804867113655768,1.2499346664288655,-0.48129037029223976,1.4977095741118103,100,0.54,1.6834368420373291
IS | 15bps/side,13.378983417217686,0.8139700123126692,-0.3973658338776247,1.4555431571901818,233,0.4592274678111588,1.987934915207785
OOS | 15bps/side,3.3890594272065826,1.147146292101786,-0.48714745186129427,1.4315258547291212,100,0.52,1.6418791521489466
IS | 20bps/side,11.53337863497423,0.7591480146753753,-0.40393957669841785,1.3927978489196329,233,0.4592274678111588,1.9276142344696874
OOS | 20bps/side,3.0088798216564214,1.0489599590082652,-0.4943840024136903,1.365292605134292,100,0.52,1.6012354004231775
