events,legs,total_return,cagr,max_dd,sharpe,exposure,leg_winrate,leg_pf,event_winrate,event_pf,avg_event,worst_event,best_event,z_thr,aftershock_gap,aftershock_win,n_picks,hold_hours,target_risk
148,444,0.6937522228446504,0.12332647014853215,-0.647877623341456,0.5213990341913275,0.048418350655560306,0.536036036036036,1.4281572743397524,0.5540540540540541,1.310434829922568,0.005054812573406314,-0.32373268542561656,0.21637172451192144,2.0,24.0,72.0,3,12,0.06
148,444,0.7013572877289034,0.12443767158126606,-0.8491464927018311,0.5129125879369877,0.048418350655560306,0.536036036036036,1.4281572743397524,0.5540540540540541,1.3058150534325477,0.008197934138119986,-0.5395544757093611,0.36061954085320247,2.0,24.0,72.0,3,12,0.1
148,444,1.78244817256724,0.25338004145446247,-0.419609537514687,0.8706041042301936,0.09311221279915444,0.5292792792792793,1.7165017725228857,0.5675675675675675,1.5329221919197629,0.008001215871918349,-0.2287823646837532,0.1358566159694381,2.0,24.0,72.0,3,24,0.06
148,444,3.187756702609952,0.3717283355408558,-0.6116660016516844,0.8687130957760657,0.09311221279915444,0.5292792792792793,1.7165017725228857,0.5675675675675675,1.5315955323451764,0.013302162665056577,-0.3813039411395887,0.22642769328239684,2.0,24.0,72.0,3,24,0.1
128,384,1.3003116900794849,0.20183393775679948,-0.3975165905266982,0.7869069206020841,0.11918363238291768,0.5598958333333334,1.75927790112568,0.6015625,1.5092784895250067,0.007059877135673435,-0.11369019284271693,0.1744789944767776,2.0,24.0,72.0,3,36,0.06
128,384,2.2401987279927207,0.29622543852393446,-0.5876169747941165,0.7869069206020841,0.11918363238291768,0.5598958333333334,1.75927790112568,0.6015625,1.509278489525006,0.01176646189278906,-0.18948365473786155,0.29079832412796264,2.0,24.0,72.0,3,36,0.1
148,740,0.562083877462084,0.10344211388377555,-0.6019570595092438,0.4700316836202511,0.048418350655560306,0.5486486486486486,1.32800409417344,0.5878378378378378,1.2817837147784554,0.00460680016296464,-0.3378352616199996,0.1669872597757133,2.0,24.0,72.0,5,12,0.06
148,740,0.4691450974168938,0.08860498590555044,-0.8185174643894336,0.4583557488778238,0.048418350655560306,0.5486486486486486,1.32800409417344,0.5878378378378378,1.2750962099572833,0.007416716975603249,-0.5630587693666661,0.27831209962618886,2.0,24.0,72.0,5,12,0.1
148,740,1.663857406397368,0.24138955379706295,-0.3705996442787436,0.8449478718151179,0.09311221279915444,0.5472972972972973,1.631568951909367,0.5878378378378378,1.5157944894290383,0.00769795931928354,-0.23749977787386173,0.13005423037005204,2.0,24.0,72.0,5,24,0.06
148,740,2.9074335176048014,0.3509131700714485,-0.5558368910245324,0.8437916117712494,0.09311221279915444,0.5472972972972973,1.631568951909367,0.5878378378378378,1.5148531732798183,0.01280651779128577,-0.39583296312310295,0.2167570506167534,2.0,24.0,72.0,5,24,0.1
