label,total_return,cagr,max_dd,sharpe,cycles,cycle_winrate,cycle_pf
full | gross 1x (gated),10.784452820960766,0.46918880901960414,-0.2908042863687602,1.5302263931238524,334,0.4820359281437126,2.0556283834812508
full | gross 2x (gated),84.86138180411807,1.0025724930961606,-0.5107473898494881,1.530786832449584,334,0.47305389221556887,2.05867490990474
full | gross 3x (gated),368.5853509584951,1.5145001762577728,-0.6745728640537543,1.5248180229789674,334,0.46706586826347307,2.051200754861307
full | gross 4x (gated),631.7353505717971,1.734441566348306,-0.7958054645398724,1.4638593017646406,334,0.4550898203592814,1.9776774394581387
