label,events,paper_events,legs,total_return,cagr,max_dd,sharpe,exposure,leg_winrate,leg_pf,event_winrate,event_pf,avg_event,worst_event,best_event
SEISMO gated | in-sample,76,97,380,4.542268303296703,0.4592443549505243,-0.3397749293390464,1.3047010758972895,0.07076528172735737,0.6447368421052632,2.5550331262731114,0.6842105263157895,2.707979024183983,0.0251919167615353,-0.14594352512498746,0.21952899780092705
SEISMO gated | out-of-sample,30,44,150,-0.2824244421362847,-0.15776567221181415,-0.4609215114686267,-0.27470798150112613,0.06546741374225892,0.44666666666666666,0.8735812807064486,0.43333333333333335,0.8346013919614494,-0.006109741676041425,-0.20532055207198016,0.24478862456605863
SEISMO gated | full history,106,141,530,2.9769962695685206,0.2379775140993572,-0.46092151146862603,0.7931135864860938,0.0691820571166499,0.5886792452830188,1.7850498613015193,0.6132075471698113,1.7766606162997503,0.016332956826372074,-0.20532055207198016,0.24478862456605863
L1 raw ungated | in-sample,97,97,485,11.878301437695898,0.7576811280706384,-0.3995923112602182,1.560323770095197,0.0903188464151798,0.6536082474226804,2.861081488270972,0.6907216494845361,2.9352594266664527,0.02897129362934293,-0.14594352512498746,0.21952899780092705
L1 raw ungated | out-of-sample,44,44,220,-0.38738570852408316,-0.22392983591632132,-0.6262672377836296,-0.378585884620169,0.09601887348864642,0.4318181818181818,0.7840727633269328,0.38636363636363635,0.8129588431025032,-0.007039529309056065,-0.20532055207198016,0.24478862456605863
L1 hedged ungated | in-sample,46,46,184,1.9487076200741469,0.26953683680078533,-0.2730153915389947,1.3248012306603907,0.04283161788761104,0.5760869565217391,3.0874290332244576,0.6304347826086957,3.6216472969752522,0.026457241358185196,-0.08636376989610431,0.22566444445490205
L1 hedged ungated | out-of-sample,39,39,156,-0.5615660338299329,-0.34726232928487843,-0.6205212237489823,-1.246371482187933,0.0851076378649366,0.391025641025641,0.7298265152863543,0.3333333333333333,0.5275931631471311,-0.01807375714654045,-0.14693025364983225,0.3422614793458445
