total_return,cagr,max_dd,sharpe,cycles,cycle_winrate,cycle_pf,lookback,skip,n_side,rebal,use_resid
32.076027219151946,1.1849973571455434,-0.5465503695527623,1.4239813134498616,544,0.46691176470588236,1.4832206444744565,14,0,5,3,False
26.003030312842203,1.08818837664852,-0.5761227004883076,1.4156626828654226,544,0.4742647058823529,1.4859881101672403,14,0,5,3,True
7.474533267868443,0.6118920686857843,-0.701125116615392,1.031203224453786,233,0.47639484978540775,1.5315804170388208,14,0,5,7,False
9.500104085770522,0.6909432402834679,-0.5516578816945359,1.109562195541732,233,0.4678111587982833,1.617422199951881,14,0,5,7,True
3.321276161817865,0.3867310086320457,-0.48348775866824145,0.9252083917400559,544,0.4117647058823529,1.295507338643741,14,0,10,3,False
1.7198774694685546,0.250477639959757,-0.5472796264779212,0.734508026683948,544,0.40625,1.245813478801507,14,0,10,3,True
6.021882590078981,0.545585613829237,-0.3953667673567749,1.1820845429429052,233,0.44206008583690987,1.6565454379188544,14,0,10,7,False
2.0371524908156244,0.2816822864019868,-0.44555918216091495,0.8031533777018811,233,0.4248927038626609,1.4441518827200615,14,0,10,7,True
3.4227021886218125,0.3939367790307522,-0.5458423840630718,0.8240972689102821,544,0.4577205882352941,1.2476769578584994,14,2,5,3,False
7.240389229285729,0.6018346359156612,-0.5790819586687252,1.0537452056961412,544,0.47058823529411764,1.3458078338213348,14,2,5,3,True
11.979506336278938,0.7729469800254134,-0.5983075472839261,1.169931841680891,233,0.4721030042918455,1.6168485845730665,14,2,5,7,False
3.91628290621662,0.4272756899942194,-0.6542993273333519,0.878524859226722,233,0.463519313304721,1.4637646402441742,14,2,5,7,True
1.3831626795406624,0.2140988789139695,-0.4903088357661324,0.6511741088737697,544,0.40625,1.1968442880103503,14,2,10,3,False
0.29552511149469707,0.05954591313969737,-0.6347128091064591,0.3563566778985453,544,0.4025735294117647,1.1086472192469705,14,2,10,3,True
3.3099783873016397,0.3859202586823298,-0.41851244029108126,0.943000813024083,233,0.4291845493562232,1.4997320977197477,14,2,10,7,False
3.178436727879247,0.37635692162938894,-0.40228016349045415,0.9632478438404621,233,0.4034334763948498,1.5411241500512918,14,2,10,7,True
14.458336201983844,0.8435393508033588,-0.5745902957814031,1.194990164215889,544,0.45955882352941174,1.3841753144798719,30,0,5,3,False
7.264836153454494,0.6028950291207364,-0.5966891050051633,1.0437866828742492,544,0.46691176470588236,1.3488209341333177,30,0,5,3,True
25.121804482534344,1.0727680663573382,-0.5636503087203881,1.3651565312333331,233,0.5021459227467812,1.786367687803061,30,0,5,7,False
9.181638288738855,0.6793488398526661,-0.5362071466226734,1.1207011768954187,233,0.48068669527896996,1.6030610875937408,30,0,5,7,True
12.659024533345917,0.793273404456214,-0.5000258513586067,1.458955399167892,544,0.42830882352941174,1.5116981697500764,30,0,10,3,False
3.153339789978723,0.3745058391789917,-0.5283899983989699,0.9437386854446076,544,0.40808823529411764,1.3238631598566561,30,0,10,3,True
