label,cagr,sharpe,max_dd,daily_pf,daily_wr,ann_vol,total_x
ECHO alone (vol-tgt 1x) | full,1.1829931938151579,1.9652055671340456,-0.40444923385631804,1.3479861415833319,0.5245183887915937,0.4480100042907574,149.28619601897665
ECHO alone (vol-tgt 1x) | common OOS >=2025-01,2.7557033755757976,3.312223955598071,-0.20153677879113752,1.6224425585370739,0.5850860420650096,0.427188607311269,6.651171243250141
RIFT alone (vol-tgt 1x) | full,0.47412050575040565,1.1283903080615052,-0.538632059604315,1.1967283852063935,0.5152709359605911,0.4226901458450522,12.04041233185362
RIFT alone (vol-tgt 1x) | common OOS >=2025-01,0.9047672497203649,1.6009508833020822,-0.31555683913238386,1.2701802675911338,0.5296367112810707,0.47208321558051897,2.515964496590455
combined 50/50 (1x) | full,0.8552230809243291,1.811645594813734,-0.4407724644957286,1.3170522080067186,0.5249562171628721,0.38080478915635324,52.597915581272446
combined 50/50 (1x) | common OOS >=2025-01,1.7627097197447181,2.7484467088815663,-0.15684192678158992,1.4983434697711986,0.5659655831739961,0.39847727885177814,4.284954061572703
"combined, bot top-14 truncation | full",0.6120464361805042,1.5941134089348312,-0.47416466640337973,1.2776878712381645,0.5131348511383538,0.33440701744634704,21.36557025034973
"combined, bot top-14 truncation | common OOS >=2025-01",1.1273780511685652,2.562080464053155,-0.1251124267095376,1.4670423394993914,0.5487571701720841,0.3136973344740777,2.947402618439647
"combined, top-30 truncation | full",0.8561047433913671,1.8099284656297545,-0.4407724644957286,1.317630117418215,0.5192644483362522,0.38157733124089654,52.75839891737726
"combined, top-30 truncation | common OOS >=2025-01",1.6836425899880982,2.6598375429867605,-0.16777355645324388,1.483120758512888,0.5544933078393881,0.40118834968979405,4.110447746507246
"combined @2x lev, 3x gross cap (bot default) | full",1.8144248449103095,1.8024403646164797,-0.6711489218965585,1.3139123986147845,0.5192644483362522,0.7134572087137021,761.2150920302031
"combined @2x lev, 3x gross cap (bot default) | common OOS >=2025-01",5.2435095237197675,2.6910735646777417,-0.2915095194498222,1.4895803422618725,0.5544933078393881,0.796694663458631,13.77118319830392
