label,events,paper_events,legs,total_return,cagr,max_dd,sharpe,exposure,leg_winrate,leg_pf,event_winrate,event_pf,avg_event,worst_event,best_event,rnd_p95,pct_seeds_below_base
base L1 (IS),97.0,97.0,485.0,11.878301437695898,0.7576811280706384,-0.3995923112602182,1.560323770095197,0.0903188464151798,0.6536082474226804,2.861081488270972,0.6907216494845361,2.9352594266664527,0.02897129362934293,-0.14594352512498746,0.21952899780092705,,
no aftershock gate,182.0,182.0,910.0,2.548114819069548,0.32245730525289784,-0.6971517898793895,0.7651551925437251,0.1694642272944611,0.5769230769230769,1.6608739741628977,0.6043956043956044,1.3859505333228013,0.01081336203863622,-0.4096007956998463,0.21952899780092705,,
short resilient (mirror),97.0,97.0,485.0,-0.9740201572308955,-0.5531945910639813,-0.9789744648164158,-1.6680464291698274,0.0903188464151798,0.3711340206185567,0.35929401429663854,0.29896907216494845,0.35469855343056367,-0.0320745741525211,-0.1989572354101294,0.23210470221238613,,
random picks (40 seeds),,,,9.717487174760018,,,,,,,,,,,,15.054119711700949,0.85
