window,strategy,ann_vol,cagr,sharpe,max_dd,daily_pf,daily_wr,total_x
full common,ECHO v2 @10bps (native 1x vol-tgt),0.4423365985969307,1.1188819491297801,1.9170696338835573,-0.3812111990948005,1.3416371149625694,0.5222960151802657,91.90450592556381
full common,ECHO v2 @7bps (their spec),0.4423494385098655,1.1966466091694765,1.9985970521716434,-0.3713171624864008,1.3586492226721996,0.5232447817836812,114.177052998141
full common,RIFT @10bps (2x gross spec),0.5969224435026174,1.2964491814101704,1.6898442260361768,-0.5107473898494882,1.312997140504725,0.5350444225074038,149.1952284388223
full common,RIFT vol-matched to ECHO,0.4423365985969307,0.9157773603236925,1.689844226036177,-0.40486200442121445,1.3129971405047252,0.5350444225074038,50.103476316959906
full common,RIFT gated @10bps,0.5704980184508859,1.09507896816346,1.580084202825673,-0.5107473898494881,1.3109336819041204,0.5342163355408388,85.86138180411807
full common,50/50 blend (vol-weighted),0.31739646044259984,1.1117460064888807,2.513370826511717,-0.30870062109644314,1.4584895402909064,0.5583491461100569,90.056744415897
COMMON OOS (>=2025-01),ECHO v2 @10bps (native 1x vol-tgt),0.4269833210901293,2.311261798386729,3.0178155839871668,-0.19876052341474337,1.563196487298371,0.5736137667304015,5.553625872781163
COMMON OOS (>=2025-01),ECHO v2 @7bps (their spec),0.4270031279826966,2.4579867851680732,3.119473787882024,-0.19608536300658863,1.5868268930861515,0.5736137667304015,5.90933960473049
COMMON OOS (>=2025-01),RIFT @10bps (2x gross spec),0.7676805096407707,2.8302935543166026,2.1303252864259106,-0.5107473898494883,1.3554803232202586,0.5621414913957935,6.8411266549313225
COMMON OOS (>=2025-01),RIFT vol-matched to ECHO,0.42698332109012926,1.2680537797429166,2.1303252864259106,-0.3188223133938688,1.3554803232202588,0.5621414913957935,3.2304170451285557
COMMON OOS (>=2025-01),RIFT gated @10bps,0.7232471975362132,2.386332363645976,2.0450699703661077,-0.5107473898494883,1.3611504085434767,0.5684210526315789,5.73479170194462
COMMON OOS (>=2025-01),50/50 blend (vol-weighted),0.303478441965186,1.8653039450666826,3.621625101365472,-0.1570550649511524,1.6633487034381378,0.5869980879541109,4.514616618328586
RIFT OOS (>=2024-07)*,ECHO v2 @10bps (native 1x vol-tgt),0.44283850125481705,1.6079832085582701,2.384797382290496,-0.3812111990948007,1.42833215904468,0.5431400282885431,6.394767253714375
RIFT OOS (>=2024-07)*,ECHO v2 @7bps (their spec),0.44285214254381194,1.7225267508207054,2.481962804446347,-0.371317162486401,1.449313971359496,0.5431400282885431,6.949577832911239
RIFT OOS (>=2024-07)*,RIFT @10bps (2x gross spec),0.7420871124367192,2.1196264641698077,1.9041037009087638,-0.5107473898494883,1.3186963713150874,0.5558698727015559,9.045131413711013
RIFT OOS (>=2024-07)*,RIFT vol-matched to ECHO,0.44283850125481694,1.1070835793245357,1.904103700908764,-0.33849026255903847,1.3186963713150872,0.5558698727015559,4.231925411625688
RIFT OOS (>=2024-07)*,RIFT gated @10bps,0.7082257318043115,1.8478976905219837,1.8318668472863127,-0.5107473898494883,1.3195424328917462,0.5599393019726859,7.582368693168033
RIFT OOS (>=2024-07)*,50/50 blend (vol-weighted),0.3169554292309656,1.4579946378638082,2.996147648144729,-0.18457668635534008,1.5388202641859947,0.5685997171145686,5.70206394045905
