base,rows
TRX,67
BTC,67
DOGE,67
XLM,67
ETH,67
ETC,67
XMR,67
LTC,67
ADA,67
XRP,67
ATOM,67
ALGO,67
DASH,67
BCH,67
BNB,67
LINK,67
1000SHIB,67
CHZ,67
ZEC,67
SOL,67
HBAR,67
AVAX,67
WAVES,67
DOT,67
CRV,67
UNI,67
AAVE,67
NEAR,67
FIL,67
GALA,67
RAY,34
OP,67
1000LUNC,67
1000PEPE,67
LDO,67
INJ,67
APT,67
ICP,67
FET,67
ID,28
